,Province_State,Country_Region,date,Lat,Long_,Confirmed,Deaths,Recovered
0,Alabama,US,2021-03-25,32.3182,-86.9023,513138,10504,
1,Alaska,US,2021-03-25,61.3707,-152.4044,62063,313,
2,American Samoa,US,2021-03-25,-14.271,-170.132,0,0,
3,Arizona,US,2021-03-25,33.7298,-111.4312,837987,16874,
4,Arkansas,US,2021-03-25,34.9697,-92.3731,329511,5571,
5,California,US,2021-03-25,36.1162,-119.6816,3653168,58434,
6,Colorado,US,2021-03-25,39.0598,-105.3111,454893,6082,
7,Connecticut,US,2021-03-25,41.5978,-72.7554,303510,7862,
8,Delaware,US,2021-03-25,39.3185,-75.5071,93038,1536,
9,Diamond Princess,US,2021-03-25,,,49,0,
10,District of Columbia,US,2021-03-25,38.8974,-77.0268,43669,1053,
11,Florida,US,2021-03-25,27.7663,-81.6868,2027429,32957,
12,Georgia,US,2021-03-25,33.0406,-83.6431,1051361,18751,
13,Grand Princess,US,2021-03-25,,,103,3,
14,Guam,US,2021-03-25,13.4443,144.7937,7794,134,
15,Hawaii,US,2021-03-25,21.0943,-157.4983,30095,458,
16,Idaho,US,2021-03-25,44.2405,-114.4788,178887,1954,
17,Illinois,US,2021-03-25,40.3495,-88.9861,1229806,23442,
18,Indiana,US,2021-03-25,39.8494,-86.2583,680998,12982,
19,Iowa,US,2021-03-25,42.0115,-93.2105,348498,5708,
20,Kansas,US,2021-03-25,38.5266,-96.7265,302549,4837,
21,Kentucky,US,2021-03-25,37.6681,-84.6701,423414,5970,
22,Louisiana,US,2021-03-25,31.1695,-91.8678,442620,10073,
23,Maine,US,2021-03-25,44.6939,-69.3819,49190,731,
24,Maryland,US,2021-03-25,39.0639,-76.8021,403982,8217,
25,Massachusetts,US,2021-03-25,42.2302,-71.5301,622226,17010,
26,Michigan,US,2021-03-25,43.3266,-84.5361,712393,17003,
27,Minnesota,US,2021-03-25,45.6945,-93.9002,510398,6892,
28,Mississippi,US,2021-03-25,32.7416,-89.6787,303942,6987,
29,Missouri,US,2021-03-25,38.4561,-92.2884,578148,8788,
30,Montana,US,2021-03-25,46.9219,-110.4544,103830,1435,
31,Nebraska,US,2021-03-25,41.1254,-98.2681,207227,2174,
